Sr.,Stock Name,Symbol,% Chg,Price,Volume
1,Dynemic Products Ltd,DYNPRO,19.99%,368.5,"530,505"
2,Rail Vikas Nigam Ltd,RVNL,17.27%,491.05,"152,345,942"
3,Shilpa Medicare Limited,SHILPAMED,13.9%,660.2,"4,067,699"
4,Marksans Pharma Limited,MARKSANS,13.22%,187.99,"17,455,116"
5,Sastasundar Ventures Limited,SASTASUNDR,12.7%,372.8,"596,754"
6,Vip Clothing Limited,VIPCLOTHNG,12.68%,43.72,"4,561,856"
7,Ahluwalia Contracts (india) Limited,AHLUCONT,12.22%,1466.1,"1,872,903"
8,Shalby Ltd,SHALBY,11.81%,310.5,"2,699,867"
9,Standard Industries Limited,SIL,11.81%,29.82,"1,817,240"
10,Bhansali Engineering Polymers Limited,BEPL,11.62%,157.63,"14,324,082"
11,Generic Engineering Construction & Projects Ltd,GENCON,11.23%,51.41,"559,302"
12,Yes Bank Limited,YESBANK,11.23%,26.64,"985,310,768"
13,Vineet Laboratories Ltd,VINEETLAB,11.07%,65.02,"416,487"
14,Kirloskar Brothers Limited,KIRLOSBROS,10.62%,2603.15,"294,348"
15,Vardhman Textiles Limited,VTL,10.46%,535.9,"3,612,363"
16,Ircon International Ltd,IRCON,10.01%,307.75,"116,642,523"
17,Suven Life Sciences Limited,SUVEN,10%,127.43,"3,065,454"
18,Kaya Limited,KAYA,9.99%,549.35,"363,813"
19,Century Extrusions Limited,CENTEXT,9.97%,25.81,"1,734,930"
20,Banswara Syntex Limited,BANSWRAS,9.65%,172.52,"496,626"
21,RKEC Projects Ltd,RKEC,9.43%,132.29,"744,317"
22,Lorenzini Apparels Ltd,LAL,9.23%,23.67,"231,526"
23,D B Realty Limited,DBREALTY,9.06%,219.19,"17,008,906"
24,Hikal Limited,HIKAL,8.75%,366.6,"3,126,518"
25,Antony Waste Handling Cell Ltd,AWHCL,8.67%,582.45,"3,057,168"
26,TransIndia Real Estate Ltd,TREL,8.58%,49,"4,927,090"
27,Ram Ratna Wires Ltd,RAMRAT,8.57%,439.8,"819,384"
28,Nupur Recyclers Ltd,NRL,8.52%,94.47,"1,248,235"
29,Emami Paper Mills Ltd,EMAMIPAP,8.19%,142.62,"1,826,694"
30,Diamines & Chemicals Ltd,DIAMINESQ,8.18%,657.6,"77,903"
31,Bajaj Healthcare Ltd,BAJAJHCARE,8.13%,355,"5,693,629"
32,Supreme Petrochem Ltd,SPLPETRO,8.07%,848.7,"569,235"
33,Shree Pushkar Chemicals & Fertilisers Limited,SHREEPUSHK,8.02%,241.74,"716,590"
34,AGI Greenpac Ltd,AGI,7.89%,924.55,"2,316,870"
35,Prime Securities Limited,PRIMESECU,7.53%,240.85,"107,327"
36,Hbl Power Systems Limited,HBLPOWER,7.48%,569.65,"5,568,953"
37,One Point One Solutions Ltd,ONEPOINT,7.37%,75.8,"16,310,608"
38,Texmaco Rail & Engineering Limited,TEXRAIL,7.33%,273.34,"20,750,016"
39,Black Box Ltd,BBOX,7.08%,393.2,"2,278,624"
40,Jm Financial Limited,JMFINANCIL,7.06%,98.24,"9,556,887"
41,New India Assurance Company Ltd,NIACL,7.04%,273.84,"15,736,110"
42,Sterling Tools Limited,STERTOOLS,6.94%,403.9,"613,831"
43,BAJEL,BAJEL,6.89%,320.95,"3,251,397"
44,CG Power and Industrial Solutions Ltd,CGPOWER,6.87%,772.2,"8,003,162"
45,Railtel Corporation of India Ltd,RAILTEL,6.83%,519.75,"31,876,881"
46,Juniper Hotels Ltd,JUNIPER,6.81%,463.3,"350,563"
47,Synergy Green Industries Ltd,SGIL,6.75%,417.65,"299,106"
48,Airan Ltd,AIRAN,6.7%,31.2,"1,130,232"
49,DigiSpice Technologies Ltd,DIGISPICE,6.6%,45.09,"2,914,053"
50,Indraprastha Medical Corporation Limited,INDRAMEDCO,6.55%,253.31,"1,038,584"
51,Reliance Infrastructure Limited,RELINFRA,6.51%,199.14,"11,536,346"
52,Platinum Industries Ltd,PLATIND,6.5%,225.85,"5,420,092"
53,Balmer Lawrie & Company Limited,BALMLAWRIE,6.45%,288.75,"4,485,714"
54,DEEDEV,DEEDEV,6.39%,363.2,"5,566,554"
55,Bigbloc Construction Limited,BIGBLOC,6.37%,253.73,"992,707"
56,Sms Pharmaceuticals Limited,SMSPHARMA,6.33%,260.03,"897,032"
57,Alpa Laboratories Limited,ALPA,6.26%,91.64,"207,620"
58,Kothari Products Limited,KOTHARIPRO,6.24%,182.92,"1,265,288"
59,Blue Star Limited,BLUESTARCO,6.2%,1705.25,"3,452,736"
60,Accelya Kale Solutions Limited,ACCELYA,6.18%,1852.6,"173,992"
61,Kronox Lab Sciences Ltd,KRONOX,6.1%,163.22,"2,995,224"
62,Alankit Limited,ALANKIT,6.1%,25.21,"9,347,406"
63,Indian Railway Finance Corporation Ltd,IRFC,5.91%,188.23,"224,563,674"
64,Cochin Shipyard,COCHINSHIP,5.88%,2837.6,"12,633,513"
65,One 97 Communications Ltd,PAYTM,5.84%,436.55,"6,630,370"
66,Td Power Systems Limited,TDPOWERSYS,5.83%,408.6,"1,974,817"
67,Cesc Limited,CESC,5.65%,168.02,"11,901,412"
68,Marathon Nextgen Realty Limited,MARATHON,5.6%,634.2,"207,381"
69,Dhanuka Agritech Limited,DHANUKA,5.57%,1790.2,"133,347"
70,Morepen Laboratories Limited,MOREPENLAB,5.55%,58.92,"21,702,940"
71,Anant Raj Global Ltd,TARC,5.51%,232.52,"2,556,013"
72,Hemisphere Properties India Ltd,HEMIPROP,5.49%,201.83,"2,549,071"
73,S. P. Apparels Limited,SPAL,5.48%,839.1,"91,010"
74,Suratwwala Business Group Ltd,SBGLP,5.37%,128.63,"968,421"
75,Coastal Corporation Ltd,COASTCORP,5.31%,253.02,"164,093"
76,Gic Housing Finance Limited,GICHSGFIN,5.25%,262.87,"2,730,885"
77,Izmo Limited,IZMO,5.24%,412.75,"356,686"
78,CL Educate,CLEDUCATE,5.22%,87.27,"154,132"
79,Vaibhav Global Limited,VAIBHAVGBL,5.11%,337.35,"1,488,267"
80,Nova Agritech Ltd,NOVAAGRI,5.11%,67.09,"3,341,518"
81,Shriram Pistons & Rings Limited,SHRIPISTON,5.1%,1980.45,"211,457"
82,Dcm Limited,DCM,5.1%,90.49,"428,079"
83,Zee Media Corporation Limited,ZEEMEDIA,5.05%,15.6,"24,414,130"
84,Mishra Dhatu Nigam Ltd,MIDHANI,5.02%,495.9,"5,768,648"
85,Dredging Corporation Of India Limited,DREDGECORP,5%,1406.3,"230,822"
86,Swan Energy Limited,SWANENERGY,5%,659.65,"2,051,338"
87,Laurus Labs Limited,LAURUSLABS,5%,477.15,"11,785,336"
88,Walchandnagar Industries Limited,WALCHANNAG,5%,300.32,"1,836,114"
89,R. S. Software (india) Limited,RSSOFTWARE,5%,295.22,"240,887"
90,Spml Infra Limited,SPMLINFRA,5%,203,"167,824"
91,Marine Electricals (India) Ltd,MARINE,5%,187.82,"794,503"
92,Simplex Infrastructures Limited,SIMPLEXINF,5%,153.32,"302,214"
93,Modison Ltd,MODISONLTD,5%,138.2,"99,501"
94,Hilton Metal Forging Limited,HILTON,5%,88.25,"518,498"
95,Paramount Communications Limited,PARACABLES,5%,82.78,"1,527,191"
96,Mirc Electronics Limited,MIRCELECTR,5%,21.21,"658,860"
97,Aurionpro Solutions Limited,AURIONPRO,4.99%,1609.8,"210,441"
98,VL E-Governance & IT Solutions Ltd,VLEGOV,4.99%,69.45,"391,052"
99,Hmt Limited,HMT,4.99%,69.17,"127,091"
100,Bharat Road Network,BRNL,4.99%,57.23,"281,334"
101,Ashima Limited,ASHIMASYN,4.99%,46.92,"1,798,833"
102,Gpt Infraprojects Limited,GPTINFRA,4.98%,156.95,"141,960"
103,Bgr Energy Systems Limited,BGRENERGY,4.98%,44.08,"129,007"
104,Setco Automotive Limited,SETCO,4.98%,15.81,"549,011"
105,Ganesh Housing Corporation Limited,GANESHHOUC,4.97%,1040.8,"198,712"
106,Astron Paper & Board Mill Ltd,ASTRON,4.97%,27.03,"71,680"
107,Narmada Agrobase Ltd,NARMADA,4.95%,25.03,"468,029"
